Platform_Assay_Name,Platform_Assay_Binary,Z_factor,Number_of_Sections,Probe_Coordinate_file_extension,Local_X_column,Local_Y_column,Local_Z_column,ProbeID_column,Expression_Matrix_file_extension,First_Column_with_ProbeName_along_top_row,StartOfControlProbeNames_1,StartOfControlProbeNames_2
NanoString 1K,1,4.444444444,2,_tx_file.csv,5,6,7,8,_exprMat_file.csv,3,NegPrb,
NanoString WTA,0,4.444444444,16,_tx_file.csv,4,5,8,9,_exprMat_file.csv,3,Negati,System
